JD,|A|
2459690.24114583,0.019839682457136
2459690.2412037,0.020305184067129
2459690.24126157,0.020234258078813
2459690.24131944,0.019639434818752
2459690.24137732,0.022625516568689
2459690.24143518,0.020078705137533
2459690.24149306,0.022129392219399
2459690.24155093,0.022094698459133
2459690.2416088,0.019264604849309
2459690.24166667,0.018031389297556
2459690.24172454,0.021758901626691
2459690.24178241,0.021078045450184
2459690.24185185,0.019109790684359
2459690.24190972,0.020307971341323
2459690.24196759,0.019985134475405
2459690.24202546,0.01862458858606
2459690.24208333,0.018522119209205
2459690.2421412,0.020582366239089
2459690.24219907,0.018625138925656
2459690.24225694,0.020439924168157
2459690.24231481,0.018054351276078
2459690.24237269,0.019893330540661
2459690.24243056,0.019822161839719
2459690.24248843,0.020840393470374
2459690.24255787,0.018274356349814
2459690.24261574,0.020020289708194
2459690.24267361,0.019009295094769
2459690.24273148,0.019225631329036
2459690.24278935,0.018467262926595
2459690.24284722,0.019389363063288
2459690.24290509,0.020392716837146
2459690.24296296,0.018378949915596
2459690.24302083,0.018583274738323
2459690.2430787,0.01935850717385
2459690.24313657,0.020948761299896
2459690.24319444,0.018759043152571
2459690.24326389,0.019222229319202
2459690.24332176,0.017790370991073
2459690.24337963,0.019131892222151
2459690.2434375,0.018803863964622
2459690.24350694,0.021620171137158
2459690.24356481,0.019560807754283
2459690.24362269,0.021198370220373
2459690.24368056,0.019134952312457
2459690.24373843,0.01705824434108
2459690.2437963,0.021351388713618
2459690.24385417,0.018335432910079
2459690.24391204,0.018819636021985
2459690.24398148,0.019156338376631
2459690.24403935,0.02142278459958
2459690.24409722,0.019509497687024
2459690.24415509,0.021315567081361
2459690.24422454,0.020351874606532
2459690.24428241,0.021634927778941
2459690.24434028,0.01872707131401
2459690.24439815,0.017216399158942
2459690.24446759,0.019420095262382
2459690.24452546,0.017689194441806
2459690.24458333,0.017136364842055
2459690.2446412,0.020395707881807
2459690.24469907,0.021793838578828
2459690.24475694,0.018923924011684
2459690.24481481,0.018179067632857
2459690.24487268,0.020431040110577
2459690.24494213,0.022885604645716
2459690.245,0.019246864679734
2459690.24505787,0.020993858625798
2459690.24511574,0.020951766035349
2459690.24518519,0.020100858190635
2459690.24524306,0.01761186247959
2459690.24530093,0.018544815987224
2459690.2453588,0.019131892222151
2459690.24541667,0.019653419549788
2459690.24547454,0.017897631128169
2459690.24553241,0.018819325173874
2459690.24559028,0.021108815693923
2459690.24565972,0.017955124616666
2459690.24571759,0.020243203797818
2459690.24577546,0.019342670446451
2459690.24583333,0.020339186316075
2459690.2458912,0.021688162669991
2459690.24594907,0.021659455210139
2459690.24600694,0.018873804597908
2459690.24606481,0.020724536182989
2459690.24613426,0.020793789938345
2459690.24619213,0.017467993588275
2459690.24625,0.020344871589666
2459690.24630787,0.019712526474301
2459690.24636574,0.018844280299338
2459690.24642361,0.021888417028191
2459690.24648148,0.019251631099728
2459690.24653935,0.018175604529148
2459690.24659722,0.021457313438546
2459690.24665509,0.022296773309159
2459690.24671296,0.020004926893143
2459690.24677083,0.02082319860156
2459690.24684028,0.019264604849309
2459690.24689815,0.017146813114979
2459690.24695602,0.019087509004582
2459690.24701389,0.019598020308184
2459690.24708333,0.021318428647534
2459690.2471412,0.02091516674569
2459690.24719907,0.019557814295059
2459690.24725694,0.020146932769035
2459690.24731481,0.017522496968184
2459690.24737269,0.018848034380274
2459690.24743056,0.021078740474706
2459690.24748843,0.020041509424193
2459690.24755787,0.019480310572473
2459690.24761574,0.020325097785743
2459690.24767361,0.01797446522153
2459690.24773148,0.018498048545725
2459690.24778935,0.02121831991464
2459690.24784722,0.018598473055603
2459690.24790509,0.022018567165009
2459690.24796296,0.019716635108456
2459690.24803241,0.020526358663923
2459690.24809028,0.019149968668382
2459690.24814815,0.021793301723236
2459690.24820602,0.020940047755438
2459690.24827546,0.019162781635243
2459690.24833333,0.020333978951499
2459690.2483912,0.020825753287697
2459690.24844907,0.018819636021985
2459690.24851852,0.02100654659862
2459690.24857639,0.019667915497073
2459690.24863426,0.017152133978022
2459690.24869213,0.021662181330605
2459690.24876157,0.017069311644
2459690.24881944,0.019639857433291
2459690.24887731,0.019667890074942
2459690.24893519,0.020845426356878
2459690.24900463,0.020944101795016
2459690.2490625,0.018521144673049
2459690.24912037,0.019758048992752
2459690.24917824,0.020940047755438
2459690.24924768,0.019743743312756
2459690.24930556,0.019444881074463
2459690.24936343,0.020660341236291
2459690.2494213,0.019843371689307
2459690.24949074,0.018473313184158
2459690.24954861,0.02092277228285
2459690.24960648,0.021374255542592
2459690.24966435,0.019209760539892
2459690.2497338,0.019697964361832
2459690.24979167,0.018718026071143
2459690.24984954,0.020134721254589
2459690.24990741,0.018190043980156
2459690.24997685,0.021330168775704
2459690.25003472,0.020352066234169
2459690.25009259,0.022833302433069
2459690.25015046,0.016877168008881
2459690.25021991,0.018031389297556
2459690.25027778,0.023328514740549
2459690.25033565,0.018473656920058
2459690.25039352,0.021276404771483
2459690.25046296,0.019373954165322
2459690.25052083,0.020191475924261
2459690.2505787,0.019668212933564
2459690.25063657,0.022328334017566
2459690.25070602,0.01797832027749
2459690.25076389,0.019608898490226
2459690.25082176,0.020349093345896
2459690.25087963,0.019600186223605
2459690.25094907,0.022148392718209
2459690.25100694,0.020614727744989
2459690.25106481,0.021817360060282
2459690.25112268,0.019028205380435
2459690.25118056,0.021474659485077
2459690.25123843,0.019978198116947
2459690.2512963,0.019401239651115
2459690.25135417,0.022270056129251
2459690.25142361,0.018222637021024
2459690.25148148,0.021727772550356
2459690.25153935,0.018318045747295
2459690.25159722,0.020625685443156
2459690.25166667,0.020598742680076
2459690.25172454,0.018756025698426
2459690.25178241,0.020245397007715
2459690.25184028,0.020189784545656
2459690.25190972,0.018466285495465
2459690.25196759,0.019916914921744
2459690.25202546,0.018156558043859
2459690.25208333,0.021129103151814
2459690.2521412,0.021457313438546
2459690.25219907,0.018949591024611
2459690.25225694,0.019324445658285
2459690.25231481,0.020256241013574
2459690.25238426,0.021151817888777
2459690.25244213,0.02043634262778
2459690.2525,0.021837346450519
2459690.25255787,0.018346501028807
2459690.25262732,0.01870138497545
2459690.25268518,0.02001409753149
2459690.25274306,0.02020860460299
2459690.25280093,0.01889855814606
2459690.2528588,0.023205818235951
2459690.25291667,0.021271473855848
2459690.25297454,0.020395707881807
2459690.25303241,0.021485269372293
2459690.25309028,0.01943579429815
2459690.25314815,0.021123420651022
2459690.25320602,0.019422682615952
2459690.25326389,0.021221585708896
2459690.25333333,0.019218522315725
2459690.2533912,0.021323669946799
2459690.25344907,0.019233421432496
2459690.25350694,0.021165540389983
2459690.25356481,0.020726490296237
2459690.25362269,0.020375431283779
2459690.25368056,0.019959233452215
2459690.25373843,0.021160491487676
2459690.25380787,0.020222171001156
2459690.25386574,0.021386717840753
2459690.25392361,0.019680416662256
2459690.25398148,0.022040719135273
2459690.25405093,0.018234363164092
2459690.2541088,0.021116697184929
2459690.25416667,0.019137962273973
2459690.25422454,0.020112993312782
2459690.25428241,0.021574438579022
2459690.25434028,0.019930092824671
2459690.25439815,0.017618013508906
2459690.25445602,0.019591245493842
2459690.25452546,0.020167511001609
2459690.25458333,0.019056728470543
2459690.2546412,0.021390025712935
2459690.25469907,0.019798464586932
2459690.25476852,0.022683740873145
2459690.25482639,0.0189589372065
2459690.25488426,0.018202219644868
2459690.25494213,0.021386032825188
2459690.25501157,0.020251204902425
2459690.25506944,0.019364077566463
2459690.25512731,0.020043335550751
2459690.25518519,0.021388999509094
2459690.25524306,0.021626400532682
2459690.25530093,0.020985721336185
2459690.2553588,0.022235341238668
2459690.25541667,0.021084226331549
2459690.25548611,0.020263997631267
2459690.25554398,0.022924486908108
2459690.25560185,0.020191475924261
2459690.25565972,0.022121539277365
2459690.25571759,0.022980213227906
2459690.25577546,0.020178010308254
2459690.25583333,0.019280733907194
2459690.2558912,0.019069195053803
2459690.25596065,0.019296748430759
2459690.25601852,0.020450926629373
2459690.25607639,0.020325577482571
2459690.25613426,0.020444698579338
2459690.25619213,0.022653860598141
2459690.25625,0.019672132573771
2459690.25630787,0.021034497854715
2459690.25636574,0.02082319860156
2459690.25643519,0.020065844113817
2459690.25649306,0.019484568252851
2459690.25655093,0.021538284518503
2459690.2566088,0.020138962237414
2459690.25667824,0.020142378211125
